player_id_str,days_played,days_since_last_activity,days_since_first_event,event_count_day1,event_count_day2,event_count_day3,event_count_day4,event_count_day5,event_count_day6,event_count_day7,event_count_day8,event_count_day9,event_count_day10,event_count_day11,event_count_day12,event_count_day13,event_count_day14,event_count_day15,session_start_count_day1,session_start_count_day2,session_start_count_day3,session_start_count_day4,session_start_count_day5,session_start_count_day6,session_start_count_day7,session_start_count_day8,session_start_count_day9,session_start_count_day10,session_start_count_day11,session_start_count_day12,session_start_count_day13,session_start_count_day14,session_start_count_day15,payment_count_day1,payment_count_day2,payment_count_day3,payment_count_day4,payment_count_day5,payment_count_day6,payment_count_day7,payment_count_day8,payment_count_day9,payment_count_day10,payment_count_day11,payment_count_day12,payment_count_day13,payment_count_day14,payment_count_day15,last_country_code,last_purchase_total_amount,churned,total_event_count,avg_events_per_day
ab0e4aee-b407-4dd1-971a-3023aa571076,28,7,129,0,0,0,0,0,0,0,1857,0,0,0,0,0,0,821,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,11.96,0,31132,1111.857142857143
b4ef1f5c-6b6f-4501-ae75-d73e0b97dd6e,3,6,8,0,0,0,0,0,0,62,670,437,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,1,1169,389.6666666666667
7804a903-c956-4998-9d80-ac97da0c9932,36,0,148,13,31,0,0,0,0,11,238,0,0,46,32,0,82,232,1,1,0,0,0,0,1,1,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,0,18082,502.27777777777777
d97f450b-3446-4cff-9575-cef7c7b57a03,13,1,18,0,953,0,705,0,1370,0,474,449,499,2133,0,0,60,101,0,3,0,1,0,5,0,1,1,1,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,1,9009,693.0
87da37ce-8bc1-496e-9c7f-e19ca6204694,5,2,33,0,0,132,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,0,676,135.2
e2715138-ea7e-4f13-8018-9bc93b1ae1a6,3,4,9,0,0,0,0,175,0,0,0,1440,607,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,0,2222,740.6666666666666
3f04297c-7580-4da7-9777-1930eb07f276,41,0,155,697,1188,1139,1257,1184,599,611,476,0,0,49,0,0,0,29,6,11,9,10,11,5,6,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,0,30753,750.0731707317074
4a6623aa-4540-46e2-b30e-1abfa3f52a1b,8,5,18,0,0,0,0,0,209,0,0,34,43,0,0,0,160,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,0,1277,159.625
f935a4e3-0bfe-4743-8a37-85f486d8139b,4,6,11,0,0,0,0,0,0,15,3331,1063,0,0,30,0,0,0,0,0,0,0,0,0,1,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,1,4439,1109.75
1af37da4-d990-43b7-b30f-541628404007,3,4,8,0,0,0,0,91,0,0,21,247,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,0,359,119.66666666666667
c5e82568-ff92-4726-a158-39bdb12daafe,22,0,111,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18.97,1,22066,1003.0
4bdf1202-9724-47a7-b9d7-cc1855d0cb08,11,5,16,0,0,0,0,0,41,26,39,0,58,647,5145,36,606,1608,0,0,0,0,0,1,1,1,0,2,2,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,1,10526,956.9090909090909
59e9d77d-ee93-4706-9f29-22bc890e331f,4,4,112,0,0,0,0,23,2586,1122,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,1,4833,1208.25
4d31828c-3d71-488a-acfe-90e00355f45e,8,4,79,0,0,0,0,105,164,0,0,0,0,0,0,0,0,159,0,0,0,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,1,1119,139.875
9da1046c-9a04-485a-9499-c99fd30f8972,15,0,23,70,211,66,0,0,0,0,199,486,124,0,126,0,0,343,1,1,1,0,0,0,0,3,1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11.37,0,8569,571.2666666666667
4a2c01b9-e852-4fcd-8772-df5e674117cf,24,3,89,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.99,1,8371,348.7916666666667
9b3a5b3b-5bcf-4854-8feb-85eee6377c64,49,0,55,1068,1322,923,413,1593,956,0,0,0,0,0,0,7,436,367,4,3,2,2,7,2,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.99,0,68307,1394.0204081632653
274f4c40-7eb9-4058-90b0-92e858556007,19,0,32,574,543,187,0,0,0,0,53,0,0,0,402,37,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,0,15812,832.2105263157895
f257b848-7f3a-4925-b73a-f6c8103f787f,17,0,22,94,0,25,0,105,429,0,0,139,151,40,103,1109,58,113,2,0,1,0,1,1,0,0,1,1,1,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,0,2903,170.76470588235293
c5b4875e-b1f3-498e-98aa-a7639fa530ea,16,0,15,2679,5400,113,1502,678,458,3257,1183,2978,5624,3095,3511,3015,3464,5901,3,6,1,3,1,2,4,1,4,6,3,4,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,,20.97,0,43275,2704.6875
0e21e2db-d376-4715-8a8d-5d62c42dcfe7,25,2,56,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,1,13715,548.6
6ecaf37a-59ed-4c65-87c6-ad929259fa89,25,3,70,0,0,0,54,0,0,0,0,0,0,0,0,0,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,1,9350,374.0
f22076ab-bd10-44c5-b1b6-4f7665b608f1,8,6,27,0,0,0,0,0,0,241,64,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,1,4377,547.125
3d77b705-77e8-4d95-8d92-3bf45498954e,5,5,70,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,1,5655,1131.0
7b992a2c-025c-4baf-ad76-539e69c7f972,5,7,18,0,0,0,0,0,0,0,69,0,0,0,18,15,916,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,1,2338,467.6
0a8220d2-11db-48cb-b26d-5aa185dde7b1,3,7,13,0,0,0,0,0,0,0,109,0,0,0,0,596,428,0,0,0,0,0,0,0,0,1,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,0,1133,377.6666666666667
44ccef5b-f26e-4ce3-9686-4aebe1f7227c,21,0,64,5,0,0,22,413,0,209,0,0,0,0,0,0,0,0,1,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,1,9752,464.3809523809524
