player_id_str,days_played,days_since_last_activity,days_since_first_event,event_count_day1,event_count_day2,event_count_day3,event_count_day4,event_count_day5,event_count_day6,event_count_day7,event_count_day8,event_count_day9,event_count_day10,event_count_day11,event_count_day12,event_count_day13,event_count_day14,event_count_day15,session_start_count_day1,session_start_count_day2,session_start_count_day3,session_start_count_day4,session_start_count_day5,session_start_count_day6,session_start_count_day7,session_start_count_day8,session_start_count_day9,session_start_count_day10,session_start_count_day11,session_start_count_day12,session_start_count_day13,session_start_count_day14,session_start_count_day15,payment_count_day1,payment_count_day2,payment_count_day3,payment_count_day4,payment_count_day5,payment_count_day6,payment_count_day7,payment_count_day8,payment_count_day9,payment_count_day10,payment_count_day11,payment_count_day12,payment_count_day13,payment_count_day14,payment_count_day15,last_country_code,last_purchase_total_amount,churned,total_event_count,avg_events_per_day
bffa6ee5-119b-433f-8e67-9f749aedfeba,11,7,52,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1,3764,342.1818181818182
8db5c251-b8ba-48b6-95c2-06228b7902db,8,7,14,0,0,0,0,0,0,0,1724,237,898,2286,2044,2128,4006,2963,0,0,0,0,0,0,0,1,1,2,2,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1,16286,2035.75
fdf13d5e-4464-49e2-aa67-d3bf76fe37ab,41,5,63,0,0,0,0,0,24,61,26,0,107,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1,7384,180.09756097560975
a5a4775c-1088-4f7d-8854-31cfa6b4ce6a,10,6,135,0,0,0,0,0,0,551,1958,679,208,0,0,0,0,0,0,0,0,0,0,0,1,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1,8104,810.4
66e0d3af-2791-4988-893c-40fb5d0a6dea,3,6,8,0,0,0,0,0,0,36,92,373,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1,501,167.0
5ca68088-373c-4ce7-812e-e9cadb5373bf,4,6,13,0,0,0,0,0,0,83,2611,604,0,0,0,0,570,0,0,0,0,0,0,0,1,11,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1,3868,967.0
c28b2f35-2ce8-4b13-8ff7-3e9b0222505c,4,6,20,0,0,0,0,0,0,34,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1,318,79.5
0ff76c22-d5c7-4aa1-9391-9f134c67eee2,16,7,32,0,0,0,0,0,0,0,120,0,107,0,107,102,0,168,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1,2129,133.0625
5d436191-6837-4396-98c1-41ea18d57289,3,5,50,0,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1,2539,846.3333333333334
d61e828d-abc8-4122-b016-d283df48ab96,3,5,7,0,0,0,0,0,414,144,504,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1,1062,354.0
