Player_ID,Current_Churn_Prediction,Current_Churn_Probability,Churn_Probability_within_5_days
9bbb53aa-2f09-47f4-8b4e-a8d00fcf2dac,0,0.0,0.0
5bd159e5-3e70-401d-82f5-6e69ec12a76b,0,0.0,0.0
98b72a91-8c25-4aa3-90f1-55a8a3d082e6,0,0.0,0.0
8986a1b7-6fbf-414f-9d5a-8135704b7308,0,0.0,0.0
3633df16-5087-4c9d-82e1-64225c1f2d35,0,0.0,0.0
95a12780-a48b-4ad5-80af-e02d938efafd,1,1.0,1.0
0b83ec94-3370-4761-8056-6ace9b656545,0,0.0,0.0
a6c8ad91-7801-4cb8-9252-ffedd00f09b3,1,0.9683257918552037,0.9683257918552037
a52ebbfe-4e31-48c8-b2f5-053ba2421466,0,0.0,0.0
28e11bbf-ead7-4d38-84a2-705ed57adce7,0,0.0,0.0
39eb5222-c527-4c4e-886a-24f1469b03e5,0,0.06075816993464052,0.06075816993464052
d659791f-1ac3-4489-a911-f2de507df59b,0,0.0,0.0
38aed497-6092-416a-83bf-c267d0a38cfd,0,0.014285714285714285,0.014285714285714285
580f03ab-69fa-4864-b7a5-3a1abf1b08a5,0,0.0,0.0
e755eacb-6005-40fd-a77e-6d4e22064861,1,0.99,0.99
40f43289-b281-4f0f-a40b-61a1f9e87f81,0,0.0,0.0
6f309d55-60e8-41bf-bff3-381c68e4862c,0,0.0,0.0
400cc1eb-e612-427b-ae20-327568d5e7f7,0,0.007272727272727273,0.007272727272727273
79db0b3e-da8a-4627-bc8b-4af56dfa9e77,0,0.0,0.0
8424107a-3d6f-4840-b4de-21ccb54b3398,0,0.01,0.01
33c8a1a5-ef9a-4fc8-a1f1-e642cccd8e58,0,0.0,0.0
aadc3dab-a924-492a-8723-122b325a8962,0,0.0,0.0
b3f37aa3-caff-4ff7-b08d-10e7d38fb566,0,0.0,0.0
3343749f-efda-458a-aa59-c6975f47dbdc,1,0.9911111111111112,0.9911111111111112
c646a9df-3a4a-4e88-9142-e5e3620c4c84,0,0.022285714285714287,0.022285714285714287
ec7c9bcc-a0ac-4fb3-9f32-409257ab4e34,0,0.0,0.0
b57b8077-c0d6-41a1-98e2-551661025462,0,0.027999999999999997,0.027999999999999997
30bff151-3b89-4088-aa9e-6ee0a28e723e,1,0.9320546120546119,0.9320546120546119
8c17cd62-c1a3-4e33-be7d-301767d548fa,0,0.021666666666666664,0.021666666666666664
7428188b-9eeb-4cfb-b924-fb64612b5068,0,0.034,0.034
